Scenario,Lifetime_Years,USD_per_100kg
520W Setup,11.00502512562814,3.0273412631692933
520W Setup,11.08040201005025,3.0195190120982867
520W Setup,11.15577889447236,3.011802467122833
520W Setup,11.231155778894472,3.004189499932286
520W Setup,11.306532663316581,2.9966780389709453
520W Setup,11.381909547738692,2.989266067558762
520W Setup,11.457286432160803,2.981951622086212
520W Setup,11.532663316582914,2.9747327902799703
520W Setup,11.608040201005025,2.9676077095361473
520W Setup,11.683417085427134,2.9605745653180513
520W Setup,11.758793969849245,2.9536315896155716
520W Setup,11.834170854271356,2.946777059463442
520W Setup,11.909547738693465,2.9400092955157695
520W Setup,11.984924623115576,2.933326660674357
520W Setup,12.060301507537687,2.9267275587684627
520W Setup,12.135678391959798,2.920210433283759
520W Setup,12.21105527638191,2.913773766138373
520W Setup,12.286432160804019,2.907416076503974
520W Setup,12.36180904522613,2.9011359196699935
520W Setup,12.43718592964824,2.8949318859491524
520W Setup,12.51256281407035,2.8888025996225384
520W Setup,12.58793969849246,2.8827467179225903
520W Setup,12.663316582914572,2.8767629300524042
520W Setup,12.738693467336683,2.8708499562398524
520W Setup,12.814070351758794,2.8650065468250956
520W Setup,12.889447236180903,2.8592314813801023
520W Setup,12.964824120603014,2.8535235678588884
520W Setup,13.040201005025125,2.8478816417772252
520W Setup,13.115577889447234,2.8423045654206387
520W Setup,13.190954773869345,2.8367912270795568
520W Setup,13.266331658291456,2.831340540310532
520W Setup,13.341708542713567,2.8259514432225132
520W Setup,13.417085427135678,2.820622897787169
520W Setup,13.492462311557787,2.8153538891723318
520W Setup,13.567839195979898,2.810143425097659
520W Setup,13.64321608040201,2.8049905352116564
520W Setup,13.718592964824118,2.799894270489236
520W Setup,13.79396984924623,2.794853702649028
520W Setup,13.86934673366834,2.789867923589693
520W Setup,13.944723618090451,2.7849360448445117
520W Setup,14.020100502512562,2.78005719705358
520W Setup,14.095477386934672,2.775230529452926
520W Setup,14.170854271356783,2.7704552093799384
520W Setup,14.246231155778894,2.765730421794495
520W Setup,14.321608040201003,2.7610553688152146
520W Setup,14.396984924623114,2.7564292692702725
520W Setup,14.472361809045225,2.751851358262256
520W Setup,14.547738693467336,2.7473208867465515
520W Setup,14.623115577889447,2.742837121122761
520W Setup,14.698492462311556,2.738399342838702
520W Setup,14.773869346733667,2.7340068480065214
520W Setup,14.849246231155778,2.7296589470305044
520W Setup,14.924623115577887,2.7253549642461645
520W Setup,15.0,2.72109423757021
260W Setup,0.0,inf
260W Setup,0.07537688442211055,182.58629679144386
260W Setup,0.1507537688442211,92.40444518716578
260W Setup,0.22613065326633164,62.34382798573975
260W Setup,0.3015075376884422,47.31351938502674
260W Setup,0.37688442211055273,38.29533422459893
260W Setup,0.4522613065326633,32.283210784313724
260W Setup,0.5276381909547738,27.98883689839572
260W Setup,0.6030150753768844,24.768056483957224
260W Setup,0.6783919597989949,22.26300505050505
260W Setup,0.7537688442211055,20.258963903743314
260W Setup,0.829145728643216,18.619293874574623
260W Setup,0.9045226130653266,17.252902183600714
260W Setup,0.9798994974874371,16.096724598930482
260W Setup,1.0552763819095476,15.10571524064171
260W Setup,1.1306532663316582,14.24684046345811
260W Setup,1.2060301507537687,13.49532503342246
260W Setup,1.2814070351758793,12.832223183391003
260W Setup,1.3567839195979898,12.242799316696377
260W Setup,1.4321608040201004,11.71542006754855
260W Setup,1.507537688442211,11.240778743315508
260W Setup,1.5829145728643215,10.811341354723707
260W Setup,1.658291457286432,10.420943728731162
260W Setup,1.7336683417085426,10.064493722390141
260W Setup,1.809045226130653,9.737747883244207
260W Setup,1.8844221105527637,9.437141711229946
260W Setup,1.9597989949748742,9.159659090909091
260W Setup,2.0351758793969847,8.902730738760152
260W Setup,2.1105527638190953,8.664154411764706
260W Setup,2.185929648241206,8.44203162456205
260W Setup,2.2613065326633164,8.234717023172905
260W Setup,2.336683417085427,8.040777557357254
260W Setup,2.4120603015075375,7.858959308155081
260W Setup,2.487437185929648,7.688160346783341
260W Setup,2.5628140703517586,7.527408383139352
260W Setup,2.638190954773869,7.375842245989305
260W Setup,2.7135678391959797,7.232696449792039
260W Setup,2.78894472361809,7.097288264200029
260W Setup,2.8643216080402008,6.969006825218126
260W Setup,2.9396984924623113,6.847303921568627
260W Setup,3.015075376884422,6.731686163101603
260W Setup,3.0904522613065324,6.621708295291509
260W Setup,3.165829145728643,6.516967468805704
260W Setup,3.2412060301507535,6.417098308668077
260W Setup,3.316582914572864,6.321768655809431
260W Setup,3.3919597989949746,6.23067587641117
260W Setup,3.467336683417085,6.143543652638921
260W Setup,3.5427135678391957,6.060119183069746
260W Setup,3.618090452261306,5.980170733065953
260W Setup,3.6934673366834168,5.903485485103132
260W Setup,3.7688442211055273,5.8298676470588235
260W Setup,3.844221105527638,5.759136783055468
260W Setup,3.9195979899497484,5.691126336898396
260W Setup,3.994974874371859,5.6256823226717785
260W Setup,4.0703517587939695,5.562662160823925
260W Setup,4.14572864321608,5.501933641225085
260W Setup,4.221105527638191,5.443373997326202
260W Setup,4.296482412060302,5.38686907777465
260W Setup,4.371859296482412,5.332312603724875
260W Setup,4.447236180904522,5.279605501676787
260W Setup,4.522613065326633,5.228655303030303
260W Setup,4.597989949748744,5.179375602700096
260W Setup,4.673366834170854,5.131685570122477
260W Setup,4.748743718592964,5.085509506833036
260W Setup,4.824120603015075,5.040776445521391
260W Setup,4.899497487437186,4.9974197860962555
260W Setup,4.974874371859296,4.95537696483552
260W Setup,5.050251256281406,4.914589153164658
260W Setup,5.125628140703517,4.875000983013526
